model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_600,0.0005,0.05,0.05,100,5000,458,0.5,180554.47598253275,5.681222707423581,13.43231441048035,0.08237626148580615,0.05283797889968893,0.11300945527507616,0.07445078527634276,0.05800150594332459,0.14053280644919483,0.03433113393011661,0.08328990568863888,5.504543478260879,6.4768978260869625,1.097348461956314,-5.535758985042759,-6.69051853950224,-9.875409775498609,0.868995633187773,12.563318777292576,4.812227074235808,0.5656535662299848
model_601,0.0005,0.05,0.1,1,500,458,0.5,180554.47598253275,5.681222707423581,131.83842794759826,0.1627836354063102,0.13947838417584985,0.33432084668310025,0.296060836583506,0.5708164046046142,0.7182183779345351,0.06840779708942565,0.11732855760657257,2.637469387755106,4.0812051020408155,8.621650696918817,-10.526435873058219,-22.171501312414144,-6.660235031109514,4.388646288209607,120.8995633187773,1.2925764192139737,4.109161572052402
model_602,0.0005,0.05,0.1,1,1000,458,0.5,180554.47598253275,5.681222707423581,83.07423580786026,0.19266245625622533,0.16471662595080835,0.37480266998941475,0.32849198004844166,0.49541342972180374,0.7038843858712854,0.08088283198174019,0.1420127506897555,3.220697435897438,4.837144615384619,5.61877402193155,-6.78680167188183,-14.16195704470083,-5.348132282415561,4.310043668122271,76.38864628820961,1.3711790393013101,3.918454148471616
model_603,0.0005,0.05,0.1,1,2000,458,0.5,180554.47598253275,5.681222707423581,49.34497816593886,0.22106315320561082,0.16781981352662828,0.39191049495094266,0.29756370392193116,0.31144002592435677,0.6347112323415945,0.0862045107684027,0.1705483498490112,4.473769633507857,6.370904712041885,3.4098960443022146,-4.622630626924385,-8.982066142203504,-5.049899768848144,3.7729257641921397,45.34061135371179,1.908296943231441,2.805761280931586
model_604,0.0005,0.05,0.1,1,3000,458,0.5,180554.47598253275,5.681222707423581,35.80349344978166,0.20897617156187068,0.14072217162740674,0.3361163089181717,0.2239383977985886,0.21086341983786114,0.4934800098009705,0.08206470814322418,0.17179592725090154,5.1807486631016015,6.718860962566842,2.5305913114540597,-4.794607779530615,-7.956633501515419,-6.493070901070966,2.7860262008733625,33.0174672489083,2.8951965065502185,1.8400611353711795
model_605,0.0005,0.05,0.1,1,5000,458,0.5,180554.47598253275,5.681222707423581,23.427947598253276,0.1894036979854489,0.1297424202142717,0.2595997248709673,0.1777255435550048,0.14686155240997265,0.32618014851831956,0.08743132623195331,0.17471664945477697,5.050739393939397,6.2023248484848486,1.6687208568185425,-4.960304710297687,-7.0080324866367025,-7.984475756625996,1.9170305676855894,21.510917030567686,3.7641921397379914,1.2622416302765647
model_606,0.0005,0.05,0.1,10,500,458,0.5,180554.47598253275,5.681222707423581,109.61572052401746,0.1432850818824909,0.12484670110568698,0.2852984411371147,0.2551695832222198,0.46631682848931755,0.5931393994166919,0.06368647441046373,0.1048643759258944,2.801629213483149,4.1453280898876415,7.012421512150605,-9.518213113366095,-19.17699927509177,-7.169169377481423,3.8296943231441047,100.5414847161572,1.851528384279476,3.5933828238719063
model_607,0.0005,0.05,0.1,10,1000,458,0.5,180554.47598253275,5.681222707423581,70.54585152838428,0.1649839900590974,0.14174998850269566,0.31718903849005414,0.2774246453475536,0.4090241244042939,0.5869200001841923,0.07268321205330125,0.12072133539417353,3.3867039106145316,4.760591061452519,4.729778752233554,-6.466553782916563,-12.696939309002829,-6.050050976205307,3.7860262008733625,64.90829694323143,1.8951965065502183,3.4052256186317313
model_608,0.0005,0.05,0.1,10,2000,458,0.5,180554.47598253275,5.681222707423581,42.89956331877729,0.18330502572843602,0.13833604152427792,0.3238178797420719,0.2424933274342075,0.2523550870455571,0.5158877908203622,0.07372454727231109,0.13846257578159665,4.62875144508671,6.243427745664746,3.0033706357832863,-4.83505518283197,-8.604307316198604,-5.989730426192322,3.2270742358078603,39.532751091703055,2.4541484716157207,2.3272780203784573
model_609,0.0005,0.05,0.1,10,3000,458,0.5,180554.47598253275,5.681222707423581,31.54585152838428,0.1689828308276406,0.11977379083751737,0.2753101641308865,0.19207758447868578,0.18635775204616714,0.40037397706611677,0.06815896445650278,0.13459708177565471,4.945024096385542,6.360127710843373,2.303005194259126,-4.876229500425342,-7.629499395219894,-7.097847828137237,2.4366812227074237,29.109170305676855,3.2445414847161573,1.6516128093158664
